SnapshotDate,MetricDate,SubscriptionName,SubscriptionId,ResourceId,DeploymentId,DeploymentName,Application,ModelName,ModelVersion,SkuName,Region,PtuCapacity,MeanUtilizationPct,PeakUtilizationPct,Requests,ServerErrors5xx,Throttles429,MeanLatencyMs
2026-05-31,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,gpt-5-4-claims,gpt-5-4-claims,Claims Triage,gpt-5.4,2026-04-01,ProvisionedManaged,eastus2,100.0,67.39,82.78,23960,31,270,890.37
2026-05-10,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,gpt-4-1-legacy-claims,gpt-4-1-legacy-claims,Claims Triage,gpt-4.1,2025-04-14,Standard,eastus2,,,,8649,3,10,1438.94
2026-05-20,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,gpt-4-1-legacy-claims,gpt-4-1-legacy-claims,Claims Triage,gpt-4.1,2025-04-14,Standard,eastus2,,,,8812,6,11,1423.64
2026-05-31,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,gpt-4-1-legacy-claims,gpt-4-1-legacy-claims,Claims Triage,gpt-4.1,2025-04-14,Standard,eastus2,,,,8736,16,1,1176.6
2026-05-10,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-member/providers/microsoft.cognitiveservices/accounts/contoso-foundry-member,gpt-5-4-mini-member,gpt-5-4-mini-member,Member Support Assistant,gpt-5.4-mini,2026-04-01,DataZoneProvisionedManaged,westeurope,50.0,23.13,31.29,21120,15,114,565.57
2026-05-20,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-member/providers/microsoft.cognitiveservices/accounts/contoso-foundry-member,gpt-5-4-mini-member,gpt-5-4-mini-member,Member Support Assistant,gpt-5.4-mini,2026-04-01,DataZoneProvisionedManaged,westeurope,50.0,21.15,28.13,19553,8,161,511.39
2026-05-31,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-member/providers/microsoft.cognitiveservices/accounts/contoso-foundry-member,gpt-5-4-mini-member,gpt-5-4-mini-member,Member Support Assistant,gpt-5.4-mini,2026-04-01,DataZoneProvisionedManaged,westeurope,50.0,23.93,32.31,20932,36,154,495.03
2026-05-10,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-member/providers/microsoft.cognitiveservices/accounts/contoso-foundry-member,whisper-member,whisper-member,Member Support Assistant,whisper,001,Standard,westeurope,,,,6248,9,0,1066.49
2026-05-20,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-member/providers/microsoft.cognitiveservices/accounts/contoso-foundry-member,whisper-member,whisper-member,Member Support Assistant,whisper,001,Standard,westeurope,,,,7257,14,8,1437.61
2026-05-31,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-member/providers/microsoft.cognitiveservices/accounts/contoso-foundry-member,whisper-member,whisper-member,Member Support Assistant,whisper,001,Standard,westeurope,,,,6549,8,3,1203.83
2026-05-10,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-analytics/providers/microsoft.cognitiveservices/accounts/contoso-foundry-analytics,gpt-5-4-analytics,gpt-5-4-analytics,Analytics Copilot,gpt-5.4,2026-04-01,ProvisionedManaged,eastus,25.0,15.9,19.45,12928,18,125,1416.26
2026-05-20,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-analytics/providers/microsoft.cognitiveservices/accounts/contoso-foundry-analytics,gpt-5-4-analytics,gpt-5-4-analytics,Analytics Copilot,gpt-5.4,2026-04-01,ProvisionedManaged,eastus,25.0,17.31,22.34,11945,23,31,1606.62
2026-05-31,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-analytics/providers/microsoft.cognitiveservices/accounts/contoso-foundry-analytics,gpt-5-4-analytics,gpt-5-4-analytics,Analytics Copilot,gpt-5.4,2026-04-01,ProvisionedManaged,eastus,25.0,17.84,23.24,10404,13,108,803.2
2026-05-10,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-analytics/providers/microsoft.cognitiveservices/accounts/contoso-foundry-analytics,o4-mini-analytics,o4-mini-analytics,Analytics Copilot,o4-mini,2025-04-16,Standard,eastus,,,,3807,6,0,573.79
2026-05-20,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-analytics/providers/microsoft.cognitiveservices/accounts/contoso-foundry-analytics,o4-mini-analytics,o4-mini-analytics,Analytics Copilot,o4-mini,2025-04-16,Standard,eastus,,,,4499,6,0,488.93
2026-05-31,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-analytics/providers/microsoft.cognitiveservices/accounts/contoso-foundry-analytics,o4-mini-analytics,o4-mini-analytics,Analytics Copilot,o4-mini,2025-04-16,Standard,eastus,,,,3521,1,3,555.57
2026-05-10,2026-05-31,Contoso AI Non-Production,11111111-1111-1111-1111-111111111111,/subscriptions/11111111-1111-1111-1111-111111111111/resourcegroups/rg-ai-dev/providers/microsoft.cognitiveservices/accounts/contoso-foundry-dev,gpt-5-4-mini-sandbox,gpt-5-4-mini-sandbox,Engineering Sandbox,gpt-5.4-mini,2026-04-01,Standard,eastus,,,,1761,2,0,663.42
2026-05-20,2026-05-31,Contoso AI Non-Production,11111111-1111-1111-1111-111111111111,/subscriptions/11111111-1111-1111-1111-111111111111/resourcegroups/rg-ai-dev/providers/microsoft.cognitiveservices/accounts/contoso-foundry-dev,gpt-5-4-mini-sandbox,gpt-5-4-mini-sandbox,Engineering Sandbox,gpt-5.4-mini,2026-04-01,Standard,eastus,,,,1861,2,0,684.28
2026-05-31,2026-05-31,Contoso AI Non-Production,11111111-1111-1111-1111-111111111111,/subscriptions/11111111-1111-1111-1111-111111111111/resourcegroups/rg-ai-dev/providers/microsoft.cognitiveservices/accounts/contoso-foundry-dev,gpt-5-4-mini-sandbox,gpt-5-4-mini-sandbox,Engineering Sandbox,gpt-5.4-mini,2026-04-01,Standard,eastus,,,,1891,2,1,513.11
2026-05-10,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-copilot-studio/providers/microsoft.cognitiveservices/accounts/contoso-studio,gpt-5-4-agent-runtime,gpt-5-4-agent-runtime,Agent Platform,gpt-5.4,2026-04-01,ProvisionedManaged,eastus,40.0,37.38,52.87,14315,17,61,1516.52
2026-05-20,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-copilot-studio/providers/microsoft.cognitiveservices/accounts/contoso-studio,gpt-5-4-agent-runtime,gpt-5-4-agent-runtime,Agent Platform,gpt-5.4,2026-04-01,ProvisionedManaged,eastus,40.0,36.67,47.97,16542,33,135,1340.56
2026-05-31,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-copilot-studio/providers/microsoft.cognitiveservices/accounts/contoso-studio,gpt-5-4-agent-runtime,gpt-5-4-agent-runtime,Agent Platform,gpt-5.4,2026-04-01,ProvisionedManaged,eastus,40.0,40.96,53.33,15509,10,125,1226.68
2026-06-10,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,gpt-5-4-clinical,gpt-5-4-clinical,Clinical Summarisation,gpt-5.4,2026-04-01,ProvisionedManaged,eastus,120.0,63.01,89.42,41853,69,372,1571.6
2026-06-20,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,gpt-5-4-clinical,gpt-5-4-clinical,Clinical Summarisation,gpt-5.4,2026-04-01,ProvisionedManaged,eastus,120.0,71.37,99.5,48043,44,370,1447.13
2026-06-30,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,gpt-5-4-clinical,gpt-5-4-clinical,Clinical Summarisation,gpt-5.4,2026-04-01,ProvisionedManaged,eastus,120.0,71.0,99.5,44244,48,96,1419.05
2026-06-10,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,gpt-5-4-mini-triage,gpt-5-4-mini-triage,Clinical Summarisation,gpt-5.4-mini,2026-04-01,ProvisionedManaged,eastus,80.0,51.41,72.35,46955,19,348,730.35
2026-06-20,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,gpt-5-4-mini-triage,gpt-5-4-mini-triage,Clinical Summarisation,gpt-5.4-mini,2026-04-01,ProvisionedManaged,eastus,80.0,58.01,70.64,39293,31,96,524.66
2026-06-30,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,gpt-5-4-mini-triage,gpt-5-4-mini-triage,Clinical Summarisation,gpt-5.4-mini,2026-04-01,ProvisionedManaged,eastus,80.0,55.88,75.69,45595,25,283,431.23
2026-06-10,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,text-embedding-3-large,text-embedding-3-large,Clinical Summarisation,text-embedding-3-large,1,Standard,eastus,,,,17450,9,22,571.78
2026-06-20,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,text-embedding-3-large,text-embedding-3-large,Clinical Summarisation,text-embedding-3-large,1,Standard,eastus,,,,17657,12,8,495.56
2026-06-30,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,text-embedding-3-large,text-embedding-3-large,Clinical Summarisation,text-embedding-3-large,1,Standard,eastus,,,,15168,16,15,546.2
2026-06-10,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,gpt-5-4-claims,gpt-5-4-claims,Claims Triage,gpt-5.4,2026-04-01,ProvisionedManaged,eastus2,100.0,68.02,84.68,29692,41,149,769.36
2026-06-20,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,gpt-5-4-claims,gpt-5-4-claims,Claims Triage,gpt-5.4,2026-04-01,ProvisionedManaged,eastus2,100.0,82.87,99.5,24932,47,150,1521.02
2026-06-30,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,gpt-5-4-claims,gpt-5-4-claims,Claims Triage,gpt-5.4,2026-04-01,ProvisionedManaged,eastus2,100.0,83.19,99.5,27987,29,145,1099.41
2026-06-10,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,gpt-4-1-legacy-claims,gpt-4-1-legacy-claims,Claims Triage,gpt-4.1,2025-04-14,Standard,eastus2,,,,9432,9,12,754.14
2026-06-20,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,gpt-4-1-legacy-claims,gpt-4-1-legacy-claims,Claims Triage,gpt-4.1,2025-04-14,Standard,eastus2,,,,10229,4,15,896.01
2026-06-30,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,gpt-4-1-legacy-claims,gpt-4-1-legacy-claims,Claims Triage,gpt-4.1,2025-04-14,Standard,eastus2,,,,11297,16,1,1296.14
2026-06-10,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-member/providers/microsoft.cognitiveservices/accounts/contoso-foundry-member,gpt-5-4-mini-member,gpt-5-4-mini-member,Member Support Assistant,gpt-5.4-mini,2026-04-01,DataZoneProvisionedManaged,westeurope,50.0,25.43,31.74,20671,34,51,497.37
2026-06-20,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-member/providers/microsoft.cognitiveservices/accounts/contoso-foundry-member,gpt-5-4-mini-member,gpt-5-4-mini-member,Member Support Assistant,gpt-5.4-mini,2026-04-01,DataZoneProvisionedManaged,westeurope,50.0,27.06,38.05,20621,36,224,547.08
2026-06-30,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-member/providers/microsoft.cognitiveservices/accounts/contoso-foundry-member,gpt-5-4-mini-member,gpt-5-4-mini-member,Member Support Assistant,gpt-5.4-mini,2026-04-01,DataZoneProvisionedManaged,westeurope,50.0,30.2,36.11,17533,32,99,558.31
2026-06-10,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-member/providers/microsoft.cognitiveservices/accounts/contoso-foundry-member,whisper-member,whisper-member,Member Support Assistant,whisper,001,Standard,westeurope,,,,6575,2,1,817.89
2026-06-20,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-member/providers/microsoft.cognitiveservices/accounts/contoso-foundry-member,whisper-member,whisper-member,Member Support Assistant,whisper,001,Standard,westeurope,,,,6191,7,6,810.47
2026-06-30,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-member/providers/microsoft.cognitiveservices/accounts/contoso-foundry-member,whisper-member,whisper-member,Member Support Assistant,whisper,001,Standard,westeurope,,,,6121,7,7,902.2
2026-06-10,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-analytics/providers/microsoft.cognitiveservices/accounts/contoso-foundry-analytics,gpt-5-4-analytics,gpt-5-4-analytics,Analytics Copilot,gpt-5.4,2026-04-01,ProvisionedManaged,eastus,25.0,19.57,24.85,14033,19,160,1394.64
2026-06-20,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-analytics/providers/microsoft.cognitiveservices/accounts/contoso-foundry-analytics,gpt-5-4-analytics,gpt-5-4-analytics,Analytics Copilot,gpt-5.4,2026-04-01,ProvisionedManaged,eastus,25.0,15.08,20.75,12141,18,34,1304.61
2026-06-30,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-analytics/providers/microsoft.cognitiveservices/accounts/contoso-foundry-analytics,gpt-5-4-analytics,gpt-5-4-analytics,Analytics Copilot,gpt-5.4,2026-04-01,ProvisionedManaged,eastus,25.0,18.72,24.32,11950,7,127,1203.36
2026-06-10,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-analytics/providers/microsoft.cognitiveservices/accounts/contoso-foundry-analytics,o4-mini-analytics,o4-mini-analytics,Analytics Copilot,o4-mini,2025-04-16,Standard,eastus,,,,4691,7,5,711.48
2026-06-20,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-analytics/providers/microsoft.cognitiveservices/accounts/contoso-foundry-analytics,o4-mini-analytics,o4-mini-analytics,Analytics Copilot,o4-mini,2025-04-16,Standard,eastus,,,,4763,6,2,495.09
2026-06-30,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-analytics/providers/microsoft.cognitiveservices/accounts/contoso-foundry-analytics,o4-mini-analytics,o4-mini-analytics,Analytics Copilot,o4-mini,2025-04-16,Standard,eastus,,,,3852,5,2,510.55
2026-06-10,2026-06-30,Contoso AI Non-Production,11111111-1111-1111-1111-111111111111,/subscriptions/11111111-1111-1111-1111-111111111111/resourcegroups/rg-ai-dev/providers/microsoft.cognitiveservices/accounts/contoso-foundry-dev,gpt-5-4-mini-sandbox,gpt-5-4-mini-sandbox,Engineering Sandbox,gpt-5.4-mini,2026-04-01,Standard,eastus,,,,1973,3,2,503.83
2026-06-20,2026-06-30,Contoso AI Non-Production,11111111-1111-1111-1111-111111111111,/subscriptions/11111111-1111-1111-1111-111111111111/resourcegroups/rg-ai-dev/providers/microsoft.cognitiveservices/accounts/contoso-foundry-dev,gpt-5-4-mini-sandbox,gpt-5-4-mini-sandbox,Engineering Sandbox,gpt-5.4-mini,2026-04-01,Standard,eastus,,,,1901,2,1,509.64
2026-06-30,2026-06-30,Contoso AI Non-Production,11111111-1111-1111-1111-111111111111,/subscriptions/11111111-1111-1111-1111-111111111111/resourcegroups/rg-ai-dev/providers/microsoft.cognitiveservices/accounts/contoso-foundry-dev,gpt-5-4-mini-sandbox,gpt-5-4-mini-sandbox,Engineering Sandbox,gpt-5.4-mini,2026-04-01,Standard,eastus,,,,2045,2,2,508.67
2026-06-10,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-copilot-studio/providers/microsoft.cognitiveservices/accounts/contoso-studio,gpt-5-4-agent-runtime,gpt-5-4-agent-runtime,Agent Platform,gpt-5.4,2026-04-01,ProvisionedManaged,eastus,40.0,43.03,58.54,16411,8,71,1489.58
2026-06-20,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-copilot-studio/providers/microsoft.cognitiveservices/accounts/contoso-studio,gpt-5-4-agent-runtime,gpt-5-4-agent-runtime,Agent Platform,gpt-5.4,2026-04-01,ProvisionedManaged,eastus,40.0,47.51,56.12,13619,17,96,1273.77
2026-06-30,2026-06-30,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-copilot-studio/providers/microsoft.cognitiveservices/accounts/contoso-studio,gpt-5-4-agent-runtime,gpt-5-4-agent-runtime,Agent Platform,gpt-5.4,2026-04-01,ProvisionedManaged,eastus,40.0,38.96,51.94,14517,27,64,1261.39
2026-07-10,2026-07-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,gpt-5-4-clinical,gpt-5-4-clinical,Clinical Summarisation,gpt-5.4,2026-04-01,ProvisionedManaged,eastus,120.0,66.21,86.45,41682,74,100,757.4
2026-07-20,2026-07-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,gpt-5-4-clinical,gpt-5-4-clinical,Clinical Summarisation,gpt-5.4,2026-04-01,ProvisionedManaged,eastus,120.0,75.97,92.59,49584,101,547,1223.57
2026-07-31,2026-07-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,gpt-5-4-clinical,gpt-5-4-clinical,Clinical Summarisation,gpt-5.4,2026-04-01,ProvisionedManaged,eastus,120.0,67.26,85.73,42693,22,420,1614.2
2026-07-10,2026-07-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,gpt-5-4-mini-triage,gpt-5-4-mini-triage,Clinical Summarisation,gpt-5.4-mini,2026-04-01,ProvisionedManaged,eastus,80.0,46.62,61.61,53897,96,228,542.94
2026-07-20,2026-07-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,gpt-5-4-mini-triage,gpt-5-4-mini-triage,Clinical Summarisation,gpt-5.4-mini,2026-04-01,ProvisionedManaged,eastus,80.0,47.26,60.53,46608,44,311,695.35
